Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1747787635,"2025-05-21 00:33:55",B5740,CZ3401,53.34,287.06,195,113.28704833984,23.390029907227
1747787650,"2025-05-21 00:34:10",B5740,CZ3401,220.98,298.172,195,113.28395080566,23.378719329834
1747787670,"2025-05-21 00:34:30",B5740,CZ3401,426.72,303.728,200,113.27928161621,23.365539550781
1747787681,"2025-05-21 00:34:41",B5740,CZ3401,556.26,300.024,211,113.27548217773,23.359180450439
1747787695,"2025-05-21 00:34:55",B5740,CZ3401,731.52,287.06,211,113.26954650879,23.349670410156
1747787710,"2025-05-21 00:35:10",B5740,CZ3401,883.92,285.208,210,113.26329803467,23.339679718018
1747787725,"2025-05-21 00:35:25",B5740,CZ3401,990.6,301.876,214,113.25705718994,23.329929351807
1747787740,"2025-05-21 00:35:40",B5740,CZ3401,1074.42,329.656,233,113.24768066406,23.321599960327
1747787755,"2025-05-21 00:35:55",B5740,CZ3401,1173.48,357.436,254,113.23491668701,23.316293716431
1747787770,"2025-05-21 00:36:10",B5740,CZ3401,1242.06,398.18,277,113.21920013428,23.315410614014
1747787785,"2025-05-21 00:36:25",B5740,CZ3401,1325.88,440.776,301,113.20252990723,23.321460723877
1747787800,"2025-05-21 00:36:40",B5740,CZ3401,1424.94,477.816,312,113.18852996826,23.332349777222
1747787815,"2025-05-21 00:36:55",B5740,CZ3401,1554.48,503.744,312,113.17337036133,23.344409942627
1747787835,"2025-05-21 00:37:15",B5740,CZ3401,1722.12,514.856,313,113.15531158447,23.359119415283
1747787850,"2025-05-21 00:37:30",B5740,CZ3401,1859.28,522.264,313,113.13871002197,23.373279571533
1747787865,"2025-05-21 00:37:45",B5740,CZ3401,1981.2,525.968,312,113.12197875977,23.386869430542
1747787879,"2025-05-21 00:37:59",B5740,CZ3401,2087.88,522.264,311,113.10674285889,23.398969650269
1747787894,"2025-05-21 00:38:14",B5740,CZ3401,2232.66,531.524,324,113.09015655518,23.414150238037
1747787909,"2025-05-21 00:38:29",B5740,CZ3401,2438.4,548.192,349,113.08110809326,23.434349060059
1747787924,"2025-05-21 00:38:44",B5740,CZ3401,2621.28,557.452,0,113.08009338379,23.454650878906
1747787935,"2025-05-21 00:38:55",B5740,CZ3401,2743.2,561.156,0,113.08013153076,23.468490600586
